Dist,Incumbent_x,PVI,Clinton %,Trump %,Obama %,Romney %,split_x,state,num,District,2017 CPVI,Incumbent_y,Last result,Cook,IE,Sabato,Politico,Daily Kos,RCP,Niskanen,Safe R,Likely R,Lean R,Tilt R,Tossup,Safe D,Likely D,Lean D,Tilt D,Consensus,Max,Confidence,split_y
NV-04,Steven Horsford (D),D+3,49.5,44.6,54.2,43.5,"['NV', '04']",NV,4,Nevada 4,D+3,Steven Horsford  (D),51.9% D,Likely D,Safe D,Likely D,Lean D,Likely D,Likely D,Likely D,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,Likely D,5.0,0.7142857142857143,"['Nevada', '4']"
NH-01,Chris Pappas (D),R+2,45.9,47.5,50.0,48.4,"['NH', '01']",NH,1,New Hampshire 1,R+2,Chris Pappas  (D),53.6% D,Likely D,Likely D,Lean D,Lean D,Lean D,Lean D,Safe D,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,Lean D,4.0,0.5714285714285714,"['New Hampshire', '1']"
NH-02,Annie Kuster (D),D+2,47.8,45.4,54.0,44.3,"['NH', '02']",NH,2,New Hampshire 2,D+2,Ann McLane Kuster  (D),55.5% D,Safe D,Safe D,Likely D,Likely D,Safe D,Safe D,Safe D,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,Safe D,5.0,0.7142857142857143,"['New Hampshire', '2']"
NJ-01,Donald Norcross (D),D+13,60.6,36.1,65.8,34.2,"['NJ', '01']",NJ,1,,,,,,,,,,,,,,,,,,,,,,,,
NJ-02,Jeff Van Drew (D),R+1,46.0,50.6,53.7,45.5,"['NJ', '02']",NJ,2,New Jersey 2,R+1,Jeff Van Drew  (R),52.9% D,Tossup,Tossup,Lean R,Lean R,Lean R,Lean R,Tossup,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,Lean R,4.0,0.5714285714285714,"['New Jersey', '2']"
NJ-03,Andy Kim (D),R+2,45.2,51.4,52.3,47.7,"['NJ', '03']",NJ,3,New Jersey 3,R+2,Andy Kim  (D),50.0% D,Tossup,Lean D,Lean D,Tossup,Tossup,Tossup,Lean D,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,Tossup,4.0,0.5714285714285714,"['New Jersey', '3']"
NJ-04,Chris Smith (R),R+8,41.0,55.8,45.2,54.8,"['NJ', '04']",NJ,4,New Jersey 4,R+8,Chris Smith  (R),55.4% R,Safe R,Safe R,Safe R,Likely R,Safe R,Safe R,Safe R,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safe R,6.0,0.8571428571428571,"['New Jersey', '4']"
NJ-05,Josh Gottheimer (D),R+3,47.7,48.8,48.5,51.5,"['NJ', '05']",NJ,5,New Jersey 5,R+3,Josh Gottheimer  (D),56.2% D,Likely D,Safe D,Safe D,Lean D,Safe D,Likely D,Safe D,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,Safe D,4.0,0.5714285714285714,"['New Jersey', '5']"
NJ-06,Frank Pallone (D),D+9,56.2,40.6,62.1,37.9,"['NJ', '06']",NJ,6,,,,,,,,,,,,,,,,,,,,,,,,
NJ-07,Tom Malinowski (D),R+3,48.6,47.5,46.7,53.0,"['NJ', '07']",NJ,7,New Jersey 7,R+3,Tom Malinowski  (D),51.7% D,Lean D,Lean D,Lean D,Tossup,Tossup,Lean D,Safe D,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,Lean D,4.0,0.5714285714285714,"['New Jersey', '7']"
