Dist,Incumbent_x,PVI,Clinton %,Trump %,Obama %,Romney %,split_x,state,num,District,2017 CPVI,Incumbent_y,Last result,Cook,IE,Sabato,Politico,Daily Kos,RCP,Niskanen,Safe R,Likely R,Lean R,Tilt R,Tossup,Safe D,Likely D,Lean D,Tilt D,Consensus,Max,Confidence,split_y
PA-02,Brendan Boyle (D),D+25,72.9,24.9,77.4,21.8,"['PA', '02']",PA,2,,,,,,,,,,,,,,,,,,,,,,,,
PA-03,Dwight Evans (D),D+41,90.9,7.0,91.8,7.5,"['PA', '03']",PA,3,,,,,,,,,,,,,,,,,,,,,,,,
PA-04,Madeleine Dean (D),D+7,57.9,38.5,56.1,42.8,"['PA', '04']",PA,4,,,,,,,,,,,,,,,,,,,,,,,,
PA-05,Mary Gay Scanlon (D),D+13,62.6,34.4,64.5,34.5,"['PA', '05']",PA,5,,,,,,,,,,,,,,,,,,,,,,,,
PA-06,Chrissy Houlahan (D),D+2,52.6,43.3,50.9,47.9,"['PA', '06']",PA,6,,,,,,,,,,,,,,,,,,,,,,,,
PA-07,Susan Wild (D),D+1,48.7,47.6,52.9,45.9,"['PA', '07']",PA,7,Pennsylvania 7,D+1,Susan Wild  (D),53.5% D,Lean D,Safe D,Lean D,Lean D,Lean D,Likely D,Safe D,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,Lean D,4.0,0.5714285714285714,"['Pennsylvania', '7']"
PA-08,Matt Cartwright (D),R+1,43.7,53.2,55.2,43.5,"['PA', '08']",PA,8,Pennsylvania 8,R+1,Matt Cartwright  (D),54.6% D,Lean D,Likely D,Lean D,Lean D,Lean D,Tossup,Safe D,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,Lean D,4.0,0.5714285714285714,"['Pennsylvania', '8']"
PA-09,Dan Meuser (R),R+14,31.0,65.0,41.2,57.2,"['PA', '09']",PA,9,,,,,,,,,,,,,,,,,,,,,,,,
PA-10,Scott Perry (R),R+6,43.4,52.3,46.0,52.6,"['PA', '10']",PA,10,Pennsylvania 10,R+6,Scott Perry  (R),51.3% R,Tossup,Tilt R,Lean R,Tossup,Lean R,Tossup,Lean R,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,Tossup,3.0,0.42857142857142855,"['Pennsylvania', '10']"
PA-11,Lloyd Smucker (R),R+14,34.7,60.5,37.8,60.7,"['PA', '11']",PA,11,,,,,,,,,,,,,,,,,,,,,,,,
PA-12,Marino (R),R+17,29.8,66.3,37.0,61.4,"['PA', '12']",PA,12,,,,,,,,,,,,,,,,,,,,,,,,
PA-13,John Joyce (R),R+22,25.5,71.0,31.8,66.8,"['PA', '13']",PA,13,,,,,,,,,,,,,,,,,,,,,,,,
PA-14,Guy Reschenthaler (R),R+14,33.9,62.9,40.4,58.4,"['PA', '14']",PA,14,,,,,,,,,,,,,,,,,,,,,,,,
PA-15,Glenn Thompson (R),R+20,26.6,70.0,35.8,62.6,"['PA', '15']",PA,15,,,,,,,,,,,,,,,,,,,,,,,,
PA-16,Mike Kelly (R),R+8,38.0,57.9,46.7,51.9,"['PA', '16']",PA,16,Pennsylvania 16,R+8,Mike Kelly  (R),51.6% R,Safe R,Safe R,Safe R,Lean R,Safe R,Safe R,Safe R,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Safe R,6.0,0.8571428571428571,"['Pennsylvania', '16']"
PA-17,Conor Lamb (D),R+3,46.7,49.2,47.3,51.6,"['PA', '17']",PA,17,Pennsylvania 17,R+3,Conor Lamb  (D),56.3% D,Likely D,Likely D,Likely D,Lean D,Likely D,Likely D,Safe D,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,Likely D,5.0,0.7142857142857143,"['Pennsylvania', '17']"
PA-18,Mike Doyle (D),D+13,61.7,34.9,63.5,35.2,"['PA', '18']",PA,18,,,,,,,,,,,,,,,,,,,,,,,,
RI-01,David Cicilline (D),D+14,59.2,34.3,66.0,32.1,"['RI', '01']",RI,1,,,,,,,,,,,,,,,,,,,,,,,,
RI-02,Jim Langevin (D),D+6,49.9,43.1,59.7,38.1,"['RI', '02']",RI,2,,,,,,,,,,,,,,,,,,,,,,,,
SC-01,Joe Cunningham (D),R+10,40.5,53.2,40.1,58.4,"['SC', '01']",SC,1,South Carolina 1,R+10,Joe Cunningham  (D),50.6% D,Tossup,Tilt D,Tossup,Tossup,Tossup,Tossup,Lean D,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,Tossup,5.0,0.7142857142857143,"['South Carolina', '1']"
SC-02,Joe Wilson (R),R+12,38.1,56.7,36.6,62.0,"['SC', '02']",SC,2,South Carolina 2,R+12,Joe Wilson  (R),56.3% R,Safe R,Safe R,Likely R,Safe R,Safe R,Safe R,Safe R,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safe R,6.0,0.8571428571428571,"['South Carolina', '2']"
SC-03,Jeff Duncan (R),R+19,29.0,67.0,33.9,64.6,"['SC', '03']",SC,3,,,,,,,,,,,,,,,,,,,,,,,,
SC-04,William Timmons (R),R+15,34.2,60.0,36.2,62.2,"['SC', '04']",SC,4,,,,,,,,,,,,,,,,,,,,,,,,
SC-05,Ralph Norman (R),R+9,38.8,57.3,43.4,55.3,"['SC', '05']",SC,5,,,,,,,,,,,,,,,,,,,,,,,,
SC-06,Jim Clyburn (D),D+19,67.1,29.7,73.0,26.0,"['SC', '06']",SC,6,,,,,,,,,,,,,,,,,,,,,,,,
SC-07,Tom Rice (R),R+9,39.2,57.9,44.5,54.5,"['SC', '07']",SC,7,,,,,,,,,,,,,,,,,,,,,,,,
SD-AL,Dusty Johnson (R),R+14,31.7,61.5,39.9,57.9,"['SD', 'AL']",SD,0,,,,,,,,,,,,,,,,,,,,,,,,
TN-01,Phil Roe (R),R+28,19.6,76.4,25.7,72.7,"['TN', '01']",TN,1,,,,,,,,,,,,,,,,,,,,,,,,
TN-02,Tim Burchett (R),R+20,29.5,64.7,30.9,67.3,"['TN', '02']",TN,2,,,,,,,,,,,,,,,,,,,,,,,,
TN-03,Chuck Fleischmann (R),R+18,30.0,65.1,35.0,63.4,"['TN', '03']",TN,3,,,,,,,,,,,,,,,,,,,,,,,,
TN-04,Scott DesJarlais (R),R+20,27.2,68.1,33.2,65.2,"['TN', '04']",TN,4,,,,,,,,,,,,,,,,,,,,,,,,
TN-05,Jim Cooper (D),D+7,56.0,37.9,55.9,42.5,"['TN', '05']",TN,5,,,,,,,,,,,,,,,,,,,,,,,,
TN-06,John Rose (R),R+24,23.6,72.3,29.5,69.1,"['TN', '06']",TN,6,,,,,,,,,,,,,,,,,,,,,,,,
TN-07,Mark Green (R),R+20,28.0,67.0,32.9,65.7,"['TN', '07']",TN,7,,,,,,,,,,,,,,,,,,,,,,,,
TN-08,David Kustoff (R),R+19,30.5,65.8,32.7,66.3,"['TN', '08']",TN,8,,,,,,,,,,,,,,,,,,,,,,,,
TN-09,Steve Cohen (D),D+28,76.9,19.6,78.5,20.8,"['TN', '09']",TN,9,,,,,,,,,,,,,,,,,,,,,,,,
TX-01,Louie Gohmert (R),R+25,25.1,71.7,27.5,71.6,"['TX', '01']",TX,1,,,,,,,,,,,,,,,,,,,,,,,,
TX-02,Dan Crenshaw (R),R+11,42.8,52.0,35.6,63.0,"['TX', '02']",TX,2,Texas 2,R+11,Dan Crenshaw  (R),52.8% R,Likely R,Likely R,Likely R,Lean R,Likely R,Safe R,Lean R,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Likely R,4.0,0.5714285714285714,"['Texas', '2']"
TX-03,Van Taylor (R),R+13,39.9,53.8,34.2,64.3,"['TX', '03']",TX,3,Texas 3,R+13,Van Taylor  (R),54.3% R,Lean R,Safe R,Likely R,Likely R,Likely R,Safe R,Lean D  (flip),2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Likely R,3.0,0.42857142857142855,"['Texas', '3']"
TX-04,John Ratcliffe (R),R+28,21.6,74.9,24.8,74.0,"['TX', '04']",TX,4,,,,,,,,,,,,,,,,,,,,,,,,
TX-05,Lance Gooden (R),R+16,34.2,62.5,34.4,64.5,"['TX', '05']",TX,5,,,,,,,,,,,,,,,,,,,,,,,,
TX-06,Ron Wright (R),R+9,41.6,53.8,40.8,57.9,"['TX', '06']",TX,6,Texas 6,R+9,Ron Wright  (R),53.1% R,Likely R,Likely R,Likely R,Likely R,Safe R,Safe R,Safe R,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Likely R,4.0,0.5714285714285714,"['Texas', '6']"
TX-07,Lizzie Fletcher (D),R+7,48.2,46.8,38.6,59.9,"['TX', '07']",TX,7,Texas 7,R+7,Lizzie Fletcher  (D),52.5% D,Lean D,Lean D,Lean D,Tossup,Lean D,Lean D,Likely D,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,Lean D,5.0,0.7142857142857143,"['Texas', '7']"
TX-08,Kevin Brady (R),R+28,23.6,71.9,21.7,77.0,"['TX', '08']",TX,8,,,,,,,,,,,,,,,,,,,,,,,,
TX-09,Al Green (D),D+29,79.1,18.0,78.0,21.2,"['TX', '09']",TX,9,,,,,,,,,,,,,,,,,,,,,,,,
TX-10,Michael McCaul (R),R+9,42.8,51.9,38.8,59.1,"['TX', '10']",TX,10,Texas 10,R+9,Michael McCaul  (R),51.1% R,Lean R,Likely R,Lean R,Lean R,Lean R,Tossup,Tossup,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,Lean R,4.0,0.5714285714285714,"['Texas', '10']"
TX-11,Mike Conaway (R),R+32,19.0,77.5,19.6,79.2,"['TX', '11']",TX,11,,,,,,,,,,,,,,,,,,,,,,,,
TX-12,Kay Granger (R),R+18,32.5,62.4,31.7,66.8,"['TX', '12']",TX,12,,,,,,,,,,,,,,,,,,,,,,,,
TX-13,Mac Thornberry (R),R+33,16.8,79.5,18.5,80.2,"['TX', '13']",TX,13,,,,,,,,,,,,,,,,,,,,,,,,
TX-14,Randy Weber (R),R+12,38.3,58.0,39.5,59.3,"['TX', '14']",TX,14,,,,,,,,,,,,,,,,,,,,,,,,
TX-15,Vicente Gonzalez (D),D+7,56.2,39.7,57.4,41.6,"['TX', '15']",TX,15,,,,,,,,,,,,,,,,,,,,,,,,
TX-16,Veronica Escobar (D),D+17,67.2,26.9,64.2,34.5,"['TX', '16']",TX,16,,,,,,,,,,,,,,,,,,,,,,,,
TX-17,Bill Flores (R),R+12,38.4,55.7,37.7,60.4,"['TX', '17']",TX,17,Texas 17,R+12,Bill Flores  (R)  (Retiring),56.8% R,Safe R,Safe R,Safe R,Likely R,Safe R,Safe R,Safe R,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safe R,6.0,0.8571428571428571,"['Texas', '17']"
TX-18,Sheila Jackson Lee (D),D+27,76.2,19.9,76.1,22.8,"['TX', '18']",TX,18,,,,,,,,,,,,,,,,,,,,,,,,
TX-19,Jodey Arrington (R),R+27,23.3,72.0,25.0,73.6,"['TX', '19']",TX,19,,,,,,,,,,,,,,,,,,,,,,,,
TX-20,Joaquin Castro (D),D+10,60.2,33.9,58.9,39.7,"['TX', '20']",TX,20,,,,,,,,,,,,,,,,,,,,,,,,
TX-21,Chip Roy (R),R+10,42.1,51.9,37.9,59.8,"['TX', '21']",TX,21,Texas 21,R+10,Chip Roy  (R),50.2% R,Tossup,Tilt R,Tossup,Lean R,Tossup,Lean R,Likely D  (flip),0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,Tossup,3.0,0.42857142857142855,"['Texas', '21']"
TX-22,Pete Olson (R),R+10,43.9,51.7,36.7,62.1,"['TX', '22']",TX,22,Texas 22,R+10,Pete Olson  (R)  (Retiring),51.4% R,Tossup,Tossup,Tossup,Tossup,Tossup,Tossup,Likely D  (flip),0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,Tossup,6.0,0.8571428571428571,"['Texas', '22']"
TX-23,Will Hurd (R),R+1,49.4,45.9,48.1,50.7,"['TX', '23']",TX,23,Texas 23,R+1,Will Hurd  (R)  (Retiring),49.2% R,Lean D  (flip),Lean D  (flip),Lean D  (flip),Lean D  (flip),Lean D  (flip),Tossup,Likely D  (flip),0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,Lean D,5.0,0.7142857142857143,"['Texas', '23']"
TX-24,Kenny Marchant (R),R+9,44.3,50.5,38.0,60.4,"['TX', '24']",TX,24,Texas 24,R+9,Kenny Marchant  (R)  (Retiring),50.6% R,Tossup,Tossup,Tossup,Tossup,Tossup,Tossup,Lean D  (flip),0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,Tossup,6.0,0.8571428571428571,"['Texas', '24']"
TX-25,Roger Williams (R),R+11,39.9,54.7,37.8,59.9,"['TX', '25']",TX,25,Texas 25,R+11,Roger Williams  (R),53.5% R,Likely R,Likely R,Likely R,Likely R,Likely R,Safe R,Tossup,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Likely R,5.0,0.7142857142857143,"['Texas', '25']"
TX-26,Michael Burgess (R),R+18,34.0,60.3,30.7,67.6,"['TX', '26']",TX,26,,,,,,,,,,,,,,,,,,,,,,,,
TX-27,Michael Cloud (R),R+13,36.4,59.8,38.2,60.5,"['TX', '27']",TX,27,,,,,,,,,,,,,,,,,,,,,,,,
TX-28,Henry Cuellar (D),D+9,57.8,38.1,60.3,38.7,"['TX', '28']",TX,28,,,,,,,,,,,,,,,,,,,,,,,,
TX-29,Sylvia Garcia (D),D+19,71.0,25.4,65.9,33.0,"['TX', '29']",TX,29,,,,,,,,,,,,,,,,,,,,,,,,
TX-30,Eddie Bernice Johnson (D),D+29,79.1,18.3,79.6,19.7,"['TX', '30']",TX,30,,,,,,,,,,,,,,,,,,,,,,,,
TX-31,John Carter (R),R+10,40.1,52.6,38.2,59.6,"['TX', '31']",TX,31,Texas 31,R+10,John Carter  (R),50.6% R,Likely R,Safe R,Likely R,Lean R,Safe R,Likely R,Tossup,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Likely R,3.0,0.42857142857142855,"['Texas', '31']"
TX-32,Colin Allred (D),R+5,48.4,46.6,41.5,57.0,"['TX', '32']",TX,32,Texas 32,R+5,Colin Allred  (D),52.3% D,Likely D,Lean D,Likely D,Lean D,Lean D,Lean D,Likely D,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,Lean D,4.0,0.5714285714285714,"['Texas', '32']"
TX-33,Marc Veasey (D),D+23,72.8,23.7,72.0,27.1,"['TX', '33']",TX,33,,,,,,,,,,,,,,,,,,,,,,,,
TX-34,Filemon Vela (D),D+10,59.1,37.6,60.7,38.3,"['TX', '34']",TX,34,,,,,,,,,,,,,,,,,,,,,,,,
TX-35,Lloyd Doggett (D),D+15,63.6,30.3,63.0,34.6,"['TX', '35']",TX,35,,,,,,,,,,,,,,,,,,,,,,,,
TX-36,Brian Babin (R),R+26,25.1,71.7,25.7,73.1,"['TX', '36']",TX,36,,,,,,,,,,,,,,,,,,,,,,,,
UT-01,Rob Bishop (R),R+26,22.4,49.7,20.4,77.5,"['UT', '01']",UT,1,,,,,,,,,,,,,,,,,,,,,,,,
UT-02,Chris Stewart (R),R+16,32.0,46.0,29.4,68.4,"['UT', '02']",UT,2,,,,,,,,,,,,,,,,,,,,,,,,
UT-03,John Curtis (R),R+25,23.3,47.2,19.6,78.6,"['UT', '03']",UT,3,,,,,,,,,,,,,,,,,,,,,,,,
UT-04,Ben McAdams (D),R+13,32.4,39.1,30.4,67.6,"['UT', '04']",UT,4,Utah 4,R+13,Ben McAdams  (D),50.1% D,Tossup,Tilt D,Lean D,Tossup,Tossup,Tossup,Tossup,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,Tossup,5.0,0.7142857142857143,"['Utah', '4']"
VT-AL,Peter Welch (D),D+15,56.7,30.3,66.6,31.0,"['VT', 'AL']",VT,0,,,,,,,,,,,,,,,,,,,,,,,,
VA-01,Rob Wittman (R),R+8,40.9,53.1,,,"['VA', '01']",VA,1,Virginia 1,R+8,Rob Wittman  (R),55.2% R,Safe R,Safe R,Safe R,Likely R,Safe R,Safe R,Safe R,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safe R,6.0,0.8571428571428571,"['Virginia', '1']"
VA-02,Elaine Luria (D),R+3,45.0,48.4,,,"['VA', '02']",VA,2,Virginia 2,R+3,Elaine Luria  (D),51.1% D,Tossup,Lean D,Lean D,Tossup,Lean D,Tossup,Lean D,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,Lean D,4.0,0.5714285714285714,"['Virginia', '2']"
VA-03,Bobby Scott (D),D+16,63.2,31.7,,,"['VA', '03']",VA,3,,,,,,,,,,,,,,,,,,,,,,,,
VA-04,Don McEachin (D),D+10,58.4,37.0,,,"['VA', '04']",VA,4,,,,,,,,,,,,,,,,,,,,,,,,
VA-05,Denver Riggleman (R),R+6,42.1,53.1,,,"['VA', '05']",VA,5,Virginia 5,R+6,Denver Riggleman  (R)  (Lost Primary),53.2% R,Lean R,Likely R,Lean R,Lean R,Likely R,Likely R,Likely R,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Likely R,4.0,0.5714285714285714,"['Virginia', '5']"
VA-06,Ben Cline (R),R+13,34.7,59.3,,,"['VA', '06']",VA,6,,,,,,,,,,,,,,,,,,,,,,,,
VA-07,Abigail Spanberger (D),R+6,43.7,50.2,,,"['VA', '07']",VA,7,Virginia 7,R+6,Abigail Spanberger  (D),50.3% D,Tossup,Tilt D,Lean D,Tossup,Tossup,Tossup,Likely D,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,Tossup,4.0,0.5714285714285714,"['Virginia', '7']"
VA-08,Don Beyer (D),D+21,72.4,20.6,,,"['VA', '08']",VA,8,,,,,,,,,,,,,,,,,,,,,,,,
VA-09,Morgan Griffith (R),R+19,27.2,68.4,,,"['VA', '09']",VA,9,,,,,,,,,,,,,,,,,,,,,,,,
VA-10,Jennifer Wexton (D),D+1,51.6,41.7,,,"['VA', '10']",VA,10,,,,,,,,,,,,,,,,,,,,,,,,
VA-11,Gerry Connolly (D),D+15,66.1,27.2,,,"['VA', '11']",VA,11,,,,,,,,,,,,,,,,,,,,,,,,
WA-01,Suzan DelBene (D),D+6,54.2,37.8,54.1,43.3,"['WA', '01']",WA,1,,,,,,,,,,,,,,,,,,,,,,,,
WA-02,Rick Larsen (D),D+10,56.9,34.8,59.2,38.0,"['WA', '02']",WA,2,,,,,,,,,,,,,,,,,,,,,,,,
WA-03,Jaime Herrera Beutler (R),R+4,42.5,49.9,47.9,49.6,"['WA', '03']",WA,3,Washington 3,R+4,Jaime Herrera Beutler  (R),52.7% R,Likely R,Likely R,Lean R,Lean R,Likely R,Lean R,Lean R,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Lean R,4.0,0.5714285714285714,"['Washington', '3']"
WA-04,Dan Newhouse (R),R+13,35.1,57.9,37.9,59.7,"['WA', '04']",WA,4,,,,,,,,,,,,,,,,,,,,,,,,
WA-05,Cathy McMorris Rodgers (R),R+8,39.1,52.2,43.7,53.5,"['WA', '05']",WA,5,Washington 5,R+8,Cathy McMorris Rodgers  (R),54.8% R,Safe R,Safe R,Safe R,Likely R,Safe R,Safe R,Safe R,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safe R,6.0,0.8571428571428571,"['Washington', '5']"
WA-06,Derek Kilmer (D),D+6,51.8,39.5,56.1,41.2,"['WA', '06']",WA,6,,,,,,,,,,,,,,,,,,,,,,,,
WA-07,Pramila Jayapal (D),D+33,82.1,12.2,79.2,18.1,"['WA', '07']",WA,7,,,,,,,,,,,,,,,,,,,,,,,,
WA-08,Kim Schrier (D),EVEN,47.7,44.7,49.7,48.1,"['WA', '08']",WA,8,Washington 8,EVEN,Kim Schrier  (D),52.4% D,Likely D,Safe D,Likely D,Lean D,Safe D,Likely D,Likely D,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,Likely D,4.0,0.5714285714285714,"['Washington', '8']"
WA-09,Adam Smith (D),D+21,70.4,23.4,68.3,29.6,"['WA', '09']",WA,9,,,,,,,,,,,,,,,,,,,,,,,,
WA-10,Denny Heck (D),D+5,51.2,39.9,56.3,41.1,"['WA', '10']",WA,10,Washington 10,D+5,Denny Heck  (D)  (Retiring),61.5% D,Safe D,Safe D,Safe D,Likely D,Safe D,Safe D,Safe D,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,Safe D,6.0,0.8571428571428571,"['Washington', '10']"
WV-01,David McKinley (R),R+19,26.4,68.0,35.5,62.2,"['WV', '01']",WV,1,,,,,,,,,,,,,,,,,,,,,,,,
WV-02,Alex Mooney (R),R+17,29.4,65.8,38.0,60.0,"['WV', '02']",WV,2,West Virginia 2,R+17,Alex Mooney  (R),54.0% R,Safe R,Safe R,Safe R,Likely R,Safe R,Safe R,Safe R,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safe R,6.0,0.8571428571428571,"['West Virginia', '2']"
WV-03,Carol Miller (R),R+23,23.3,72.5,32.8,65.0,"['WV', '03']",WV,3,West Virginia 3,R+23,Carol Miller  (R),56.4% R,Safe R,Safe R,Safe R,Likely R,Safe R,Safe R,Safe R,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safe R,6.0,0.8571428571428571,"['West Virginia', '3']"
WI-01,Bryan Steil (R),R+5,41.8,52.1,47.4,51.6,"['WI', '01']",WI,1,Wisconsin 1,R+5,Bryan Steil  (R),54.6% R,Safe R,Safe R,Safe R,Likely R,Safe R,Safe R,Safe R,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safe R,6.0,0.8571428571428571,"['Wisconsin', '1']"
WI-02,Mark Pocan (D),D+18,64.9,28.6,68.2,30.4,"['WI', '02']",WI,2,,,,,,,,,,,,,,,,,,,,,,,,
WI-03,Ron Kind (D),EVEN,44.3,48.8,54.7,43.7,"['WI', '03']",WI,3,Wisconsin 3,EVEN,Ron Kind  (D),59.7% D,Likely D,Safe D,Likely D,Likely D,Safe D,Likely D,Safe D,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,Likely D,4.0,0.5714285714285714,"['Wisconsin', '3']"
WI-04,Gwen Moore (D),D+25,73.0,21.5,75.2,23.7,"['WI', '04']",WI,4,,,,,,,,,,,,,,,,,,,,,,,,
WI-05,Jim Sensenbrenner (R),R+13,36.7,56.5,37.7,61.2,"['WI', '05']",WI,5,,,,,,,,,,,,,,,,,,,,,,,,
WI-06,Glenn Grothman (R),R+8,38.2,54.8,45.7,53.0,"['WI', '06']",WI,6,Wisconsin 6,R+8,Glenn Grothman  (R),55.5% R,Safe R,Safe R,Safe R,Likely R,Safe R,Safe R,Safe R,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safe R,6.0,0.8571428571428571,"['Wisconsin', '6']"
WI-07,Sean Duffy (R),R+8,36.9,57.2,47.7,50.8,"['WI', '07']",WI,7,Wisconsin 7,R+8,Tom Tiffany  (R),57.2% R,Safe R,Safe R,Safe R,Likely R,Safe R,Safe R,Safe R,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safe R,6.0,0.8571428571428571,"['Wisconsin', '7']"
WI-08,Mike Gallagher (R),R+7,38.3,55.7,47.5,51.2,"['WI', '08']",WI,8,,,,,,,,,,,,,,,,,,,,,,,,
WY-AL,Liz Cheney (R),R+25,21.9,68.2,27.8,68.6,"['WY', 'AL']",WY,0,,,,,,,,,,,,,,,,,,,,,,,,
